Text,Speaker Role,Target Role,Relationship,History,Frequency,Platform,Label
I'll kill you 😘,Girlfriend,User,Intimate,Friendly,Rare,WhatsApp,Not Bullying
I'll kill you,Stranger,User,Unknown,None,One-time,Twitter,Bullying
You're an idiot 😂,Best Friend,User,Close Friend,Friendly,Frequent,WhatsApp,Not Bullying
You're an idiot,Anonymous,User,Unknown,None,One-time,Instagram,Bullying
I hate you 😜,Sibling,User,Family,Playful,Occasional,SMS,Not Bullying
I hate you,Ex-partner,User,Ex-relationship,Hostile,One-time,Facebook,Bullying
Shut up 🙄,Friend,User,Close Friend,Friendly,Frequent,Discord,Not Bullying
Shut up,Stranger,User,Unknown,None,One-time,Twitter,Bullying
You're so dumb 🤦,Classmate,User,Classmate,Friendly,Occasional,Snapchat,Not Bullying
You're so dumb,Stranger,User,Unknown,None,One-time,Instagram,Bullying
Nobody likes you 💔,Friend,User,Close Friend,Empathetic,Rare,WhatsApp,Not Bullying
Nobody likes you,Anonymous,User,Unknown,None,One-time,Twitter,Bullying
Die,Teammate,User,Friend,Joking,Frequent,Discord,Not Bullying
Die,Stranger,User,Unknown,None,One-time,Instagram,Bullying
You're worthless,Parent,User,Family,Serious criticism,Rare,SMS,Bullying
You're worthless 😢,Friend,User,Close Friend,Supportive,Rare,WhatsApp,Not Bullying
Kill yourself,Stranger,User,Unknown,None,One-time,Twitter,Bullying
Kill yourself lol,Friend,User,Close Friend,Dark humor,Rare,Discord,Not Bullying
I hope you fail,Coworker,User,Colleague,Competitive,Rare,Slack,Bullying
I hope you fail 😅,Friend,User,Close Friend,Friendly,Rare,WhatsApp,Not Bullying
Get out of my life,Ex-friend,User,Former Friend,Hostile,One-time,Facebook,Bullying
Get out of my life 😂,Friend,User,Close Friend,Playful,Rare,Instagram,Not Bullying
You're a loser,Stranger,User,Unknown,None,One-time,Twitter,Bullying
You're a loser 🤪,Teammate,User,Friend,Friendly,Frequent,Discord,Not Bullying
Stop talking,Moderator,User,Neutral,None,One-time,Discord,Not Bullying
Stop talking,Stranger,User,Unknown,None,One-time,Instagram,Bullying
You're ugly,Anonymous,User,Unknown,None,One-time,Twitter,Bullying
